Name,University Name,Age,course,How frequently do you use AI?,Which Generative AI tool do you use?,Should curriculum be modified keeping AI in mind?
Ananya Desai,Univ. Of Delhi,21,science,Often (At least once a week),Others,No
Diya Sharma,Jadavpur Univ.,19,science,Never,Midjourney,Yes
Ishaan Chopra,Anna Univ.,20,science,Often (At least once a week),ChatGPT,Yes
Ira Kumar,VIT(Vellore),22,commerce,Often (At least once a week),Midjourney,No
Pihu Joshi,Manipal Univ.,18,arts,Often (At least once a week),ChatGPT,Yes
Ira Nair,IIsc,18,others,Rarely (A few times a semester at most),Elicit,Yes
Pihu Gupta,Univ. Of Delhi,19,commerce,Never,Elicit,Yes
Krishna Rao,IIsc,23,arts,Often (At least once a week),Research Rabbit,No
Aadhya Kumar,Anna Univ.,22,others,Often (At least once a week),Grammarly,Yes
Anika Kumar,Anna Univ.,24,arts,Often (At least once a week),Midjourney,No
Ananya Naidu,Univ. Of Delhi,21,science,Often (At least once a week),ChatGPT,Yes
Saanvi Gupta,Univ. Of Delhi,19,science,Sometimes (At least once a month),Grammarly,No
Saanvi Nair,Jadavpur Univ.,18,science,Never,ChatGPT,No
Saanvi Verma,Anna Univ.,20,commerce,Rarely (A few times a semester at most),Research Rabbit,Yes
Anika Bose,Univ. Of Delhi,25,others,Sometimes (At least once a month),DALL-E,No
Sai Naidu,Univ. Of Delhi,19,others,Sometimes (At least once a month),Research Rabbit,No
Lakshmi Verma,Jadavpur Univ.,24,arts,Never,Grammarly,Yes
Aditya Iyer,Anna Univ.,18,commerce,Sometimes (At least once a month),Midjourney,Yes
Pihu Chopra,IIsc,22,science,Rarely (A few times a semester at most),ChatGPT,Yes
Aarohi Joshi,Univ. Of Delhi,25,science,Never,Midjourney,Yes
Ananya Singh,IIsc,22,others,Rarely (A few times a semester at most),DALL-E,Yes
Saanvi Singh,IIsc,25,commerce,Often (At least once a week),ChatGPT,Yes
Vihaan Iyer,Univ. Of Delhi,21,commerce,Never,Grammarly,No
Aditya Bose,IIsc,23,science,Often (At least once a week),Bing AI,Yes
Saanvi Kapoor,Anna Univ.,18,science,Rarely (A few times a semester at most),Research Rabbit,Yes
Lakshmi Mishra,Anna Univ.,22,science,Often (At least once a week),Bing AI,Yes
Lakshmi Gupta,Univ. Of Delhi,18,arts,Rarely (A few times a semester at most),Grammarly,Yes
Diya Nair,IIsc,19,arts,Sometimes (At least once a month),Grammarly,No
Aadhya Mishra,Univ. Of Delhi,18,others,Never,Others,Yes
Ananya Desai,IIsc,24,others,Never,Bing AI,No
Anika Kapoor,Anna Univ.,23,others,Often (At least once a week),Others,Yes
Arjun Patel,Anna Univ.,23,others,Rarely (A few times a semester at most),ChatGPT,No
Ishaan Reddy,Univ. Of Delhi,25,commerce,Never,ChatGPT,Yes
Ira Naidu,Univ. Of Delhi,22,commerce,Sometimes (At least once a month),Midjourney,No
Diya Mehta,Jadavpur Univ.,19,others,Rarely (A few times a semester at most),Grammarly,No
Reyansh Reddy,Anna Univ.,20,others,Never,Elicit,Yes
Arjun Mishra,VIT(Vellore),25,others,Often (At least once a week),Others,No
Sai Singh,Manipal Univ.,20,science,Never,Grammarly,Yes
Ira Singh,IIsc,19,science,Often (At least once a week),Midjourney,Yes
Saanvi Kumar,Univ. Of Delhi,20,science,Sometimes (At least once a month),Elicit,Yes
Saanvi Joshi,IIsc,20,science,Sometimes (At least once a month),Midjourney,Yes
Lakshmi Reddy,Anna Univ.,23,arts,Never,Midjourney,Yes
Diya Gupta,Anna Univ.,20,arts,Sometimes (At least once a month),Others,Yes
Reyansh Iyer,Univ. Of Delhi,20,arts,Rarely (A few times a semester at most),Bing AI,No
Ishaan Nair,Univ. Of Delhi,18,others,Rarely (A few times a semester at most),Others,Yes
Ananya Mehta,Jadavpur Univ.,23,others,Rarely (A few times a semester at most),ChatGPT,Yes
Aditya Chopra,Anna Univ.,18,others,Never,Others,No
Aditya Singh,IIsc,23,others,Rarely (A few times a semester at most),Elicit,Yes
Ayaan Verma,Univ. Of Delhi,20,science,Often (At least once a week),Bing AI,No
Ayaan Mishra,IIsc,25,science,Often (At least once a week),DALL-E,Yes
Vivaan Mishra,Anna Univ.,19,science,Rarely (A few times a semester at most),Grammarly,Yes
Aarav Verma,Anna Univ.,19,science,Never,DALL-E,No
Ayaan Mehta,Univ. Of Delhi,19,science,Sometimes (At least once a month),Bing AI,Yes
Lakshmi Chopra,Univ. Of Delhi,21,commerce,Never,Grammarly,Yes
Aadhya Iyer,Jadavpur Univ.,24,arts,Often (At least once a week),Midjourney,No
Vihaan Mishra,Anna Univ.,24,others,Often (At least once a week),Midjourney,No
Pihu Kapoor,VIT(Vellore),18,commerce,Never,ChatGPT,No
Ananya Mehta,Manipal Univ.,24,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Saanvi Naidu,IIsc,24,others,Sometimes (At least once a month),Elicit,Yes
Shanaya Bose,Univ. Of Delhi,24,arts,Sometimes (At least once a month),Bing AI,Yes
Aarav Naidu,IIsc,22,science,Often (At least once a week),Grammarly,No
Aarav Das,Anna Univ.,18,science,Never,DALL-E,Yes
Aarav Nair,Anna Univ.,18,science,Rarely (A few times a semester at most),Others,Yes
Vihaan Reddy,Univ. Of Delhi,25,commerce,Sometimes (At least once a month),Research Rabbit,Yes
Vihaan Desai,Univ. Of Delhi,24,others,Sometimes (At least once a month),Bing AI,No
Pihu Nair,Jadavpur Univ.,22,others,Often (At least once a week),DALL-E,Yes
Aadhya Sharma,Anna Univ.,21,arts,Never,Grammarly,Yes
Lakshmi Patel,IIsc,24,commerce,Rarely (A few times a semester at most),Midjourney,No
Aarav Joshi,Univ. Of Delhi,25,science,Often (At least once a week),Midjourney,No
Sai Mehta,IIsc,21,science,Never,ChatGPT,Yes
Lakshmi Naidu,Anna Univ.,19,others,Often (At least once a week),DALL-E,No
Arjun Joshi,Anna Univ.,21,commerce,Sometimes (At least once a month),Grammarly,Yes
Arjun Sharma,Univ. Of Delhi,18,commerce,Sometimes (At least once a month),Midjourney,No
Saanvi Kumar,Univ. Of Delhi,18,science,Sometimes (At least once a month),Midjourney,No
Vivaan Joshi,Jadavpur Univ.,25,science,Often (At least once a week),ChatGPT,Yes
Pihu Desai,Anna Univ.,19,science,Often (At least once a week),Elicit,Yes
Shanaya Kumar,VIT(Vellore),22,arts,Rarely (A few times a semester at most),Others,Yes
Saanvi Rao,Manipal Univ.,22,arts,Never,ChatGPT,No
Aarav Pandey,IIsc,24,others,Sometimes (At least once a month),Grammarly,No
Sai Pandey,Univ. Of Delhi,24,others,Never,Others,No
Shanaya Gupta,IIsc,25,others,Often (At least once a week),Others,Yes
Aarav Sharma,Anna Univ.,21,others,Sometimes (At least once a month),ChatGPT,No
Diya Bose,Anna Univ.,25,commerce,Sometimes (At least once a month),Others,No
Aarav Gupta,Univ. Of Delhi,20,commerce,Sometimes (At least once a month),DALL-E,No
Krishna Bose,Univ. Of Delhi,25,others,Often (At least once a week),Research Rabbit,No
Ananya Mishra,Jadavpur Univ.,25,others,Often (At least once a week),Elicit,No
Arjun Iyer,Anna Univ.,22,others,Never,Midjourney,No
Reyansh Nair,IIsc,24,science,Never,Midjourney,Yes
Ishaan Bose,Univ. Of Delhi,20,science,Rarely (A few times a semester at most),Elicit,No
Sai Nair,IIsc,20,science,Often (At least once a week),Bing AI,Yes
Shanaya Mehta,Anna Univ.,18,science,Sometimes (At least once a month),DALL-E,Yes
Sai Mehta,Anna Univ.,23,arts,Often (At least once a week),Research Rabbit,No
Arjun Rao,Univ. Of Delhi,22,arts,Never,Bing AI,No
Aadhya Chopra,Univ. Of Delhi,18,arts,Rarely (A few times a semester at most),DALL-E,Yes
Sai Sharma,Jadavpur Univ.,24,others,Often (At least once a week),Bing AI,Yes
Pihu Singh,Anna Univ.,23,others,Often (At least once a week),Research Rabbit,Yes
Aarohi Patel,VIT(Vellore),22,others,Never,Others,Yes
Saanvi Gupta,Manipal Univ.,19,others,Rarely (A few times a semester at most),Bing AI,No
Krishna Sharma,IIsc,24,science,Rarely (A few times a semester at most),Research Rabbit,No
Pihu Naidu,Univ. Of Delhi,22,science,Often (At least once a week),Grammarly,No
Shanaya Reddy,IIsc,18,science,Never,ChatGPT,No
Pihu Joshi,Anna Univ.,25,science,Often (At least once a week),Bing AI,Yes
Aarohi Verma,Anna Univ.,23,science,Rarely (A few times a semester at most),Elicit,Yes
Ira Mishra,Univ. Of Delhi,22,commerce,Never,Research Rabbit,No
Aadhya Sharma,Univ. Of Delhi,25,arts,Never,Others,Yes
Ananya Kapoor,Jadavpur Univ.,23,others,Often (At least once a week),Grammarly,Yes
Reyansh Iyer,Anna Univ.,23,commerce,Rarely (A few times a semester at most),Others,No
Ira Sharma,IIsc,23,arts,Sometimes (At least once a month),Bing AI,No
Pihu Kapoor,Univ. Of Delhi,20,others,Rarely (A few times a semester at most),DALL-E,No
Ira Bose,IIsc,25,arts,Often (At least once a week),Bing AI,No
Saanvi Patel,Anna Univ.,25,science,Rarely (A few times a semester at most),Grammarly,No
Sai Bose,Anna Univ.,23,science,Sometimes (At least once a month),DALL-E,Yes
Krishna Pandey,Univ. Of Delhi,24,science,Often (At least once a week),ChatGPT,No
Vihaan Bose,Univ. Of Delhi,23,commerce,Often (At least once a week),Others,No
Arjun Chopra,Jadavpur Univ.,21,others,Rarely (A few times a semester at most),Bing AI,No
Vivaan Mehta,Anna Univ.,25,others,Sometimes (At least once a month),Research Rabbit,No
Shanaya Rao,VIT(Vellore),22,arts,Sometimes (At least once a month),Grammarly,Yes
Arjun Das,Manipal Univ.,19,commerce,Sometimes (At least once a month),Bing AI,No
Anika Kumar,IIsc,19,science,Rarely (A few times a semester at most),Research Rabbit,No
Pihu Reddy,Univ. Of Delhi,25,science,Never,ChatGPT,Yes
Aarav Patel,IIsc,18,others,Rarely (A few times a semester at most),Grammarly,No
Aadhya Mehta,Anna Univ.,23,commerce,Rarely (A few times a semester at most),Research Rabbit,No
Pihu Rao,Anna Univ.,23,commerce,Rarely (A few times a semester at most),Others,Yes
Aarohi Naidu,Univ. Of Delhi,24,science,Often (At least once a week),Midjourney,Yes
Ira Chopra,Univ. Of Delhi,20,science,Often (At least once a week),Elicit,Yes
Krishna Verma,Jadavpur Univ.,18,science,Sometimes (At least once a month),Midjourney,Yes
Arjun Rao,Anna Univ.,24,arts,Rarely (A few times a semester at most),Others,No
Aadhya Verma,IIsc,25,arts,Never,Elicit,Yes
Sai Patel,Univ. Of Delhi,21,others,Often (At least once a week),Grammarly,No
Aarav Chopra,IIsc,21,others,Often (At least once a week),DALL-E,Yes
Ananya Verma,Anna Univ.,25,others,Sometimes (At least once a month),Bing AI,Yes
Aarav Pandey,Anna Univ.,22,others,Often (At least once a week),Grammarly,Yes
Krishna Reddy,Univ. Of Delhi,23,commerce,Often (At least once a week),Others,No
Sai Kapoor,Univ. Of Delhi,19,commerce,Often (At least once a week),Research Rabbit,No
Reyansh Rao,Jadavpur Univ.,22,others,Sometimes (At least once a month),DALL-E,No
Anika Das,Anna Univ.,23,others,Rarely (A few times a semester at most),ChatGPT,Yes
Shanaya Singh,VIT(Vellore),22,others,Sometimes (At least once a month),Research Rabbit,No
Aditya Reddy,Manipal Univ.,24,science,Never,DALL-E,No
Aarav Kapoor,IIsc,21,science,Never,DALL-E,Yes
Sai Mishra,Univ. Of Delhi,25,science,Rarely (A few times a semester at most),Others,Yes
Sai Iyer,IIsc,19,science,Rarely (A few times a semester at most),Bing AI,No
Ayaan Nair,Anna Univ.,18,arts,Never,Elicit,Yes
Ira Desai,Anna Univ.,22,arts,Never,Research Rabbit,No
Anika Rao,Univ. Of Delhi,24,arts,Sometimes (At least once a month),Others,No
Vivaan Bose,Univ. Of Delhi,21,others,Rarely (A few times a semester at most),DALL-E,No
Ira Patel,Jadavpur Univ.,25,others,Sometimes (At least once a month),Elicit,No
Sai Das,Anna Univ.,19,others,Often (At least once a week),Grammarly,Yes
Aarav Mishra,IIsc,23,others,Never,Grammarly,Yes
Ayaan Rao,Univ. Of Delhi,22,science,Rarely (A few times a semester at most),Research Rabbit,No
Aditya Mehta,IIsc,22,science,Often (At least once a week),Grammarly,No
Ishaan Pandey,Anna Univ.,18,science,Often (At least once a week),Research Rabbit,No
Vihaan Mehta,Anna Univ.,23,science,Rarely (A few times a semester at most),Research Rabbit,Yes
Sai Mehta,Univ. Of Delhi,19,science,Often (At least once a week),Others,No
Pihu Iyer,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),DALL-E,No
Sai Naidu,Jadavpur Univ.,25,arts,Rarely (A few times a semester at most),ChatGPT,Yes
Vihaan Chopra,Anna Univ.,25,others,Often (At least once a week),Research Rabbit,Yes
Lakshmi Mehta,VIT(Vellore),22,commerce,Rarely (A few times a semester at most),Others,Yes
Ananya Verma,Manipal Univ.,23,arts,Never,Research Rabbit,No
Arjun Singh,IIsc,20,others,Rarely (A few times a semester at most),Midjourney,Yes
Aditya Naidu,Univ. Of Delhi,20,arts,Rarely (A few times a semester at most),Others,No
Ira Nair,IIsc,24,science,Often (At least once a week),ChatGPT,Yes
Aarav Kapoor,Anna Univ.,24,science,Often (At least once a week),DALL-E,Yes
Vihaan Reddy,Anna Univ.,22,science,Sometimes (At least once a month),Research Rabbit,Yes
Aarav Sharma,Univ. Of Delhi,23,commerce,Never,Grammarly,Yes
Ayaan Patel,Univ. Of Delhi,20,others,Rarely (A few times a semester at most),Bing AI,No
Saanvi Naidu,Jadavpur Univ.,24,others,Sometimes (At least once a month),Others,Yes
Shanaya Chopra,Anna Univ.,23,arts,Sometimes (At least once a month),DALL-E,No
Krishna Patel,Univ. Of Delhi,19,commerce,Often (At least once a week),Grammarly,No
Reyansh Reddy,Univ. Of Delhi,22,science,Sometimes (At least once a month),Bing AI,No
Anika Joshi,Jadavpur Univ.,24,science,Never,Others,No
Ayaan Naidu,Anna Univ.,23,others,Often (At least once a week),Research Rabbit,Yes
Sai Kumar,IIsc,20,commerce,Sometimes (At least once a month),Bing AI,Yes
Shanaya Bose,Univ. Of Delhi,21,commerce,Often (At least once a week),Others,Yes
Aditya Chopra,IIsc,19,science,Rarely (A few times a semester at most),Research Rabbit,Yes
Saanvi Naidu,Anna Univ.,21,science,Never,Grammarly,Yes
Pihu Mehta,Anna Univ.,23,science,Often (At least once a week),Elicit,Yes
Shanaya Nair,Univ. Of Delhi,21,arts,Rarely (A few times a semester at most),Bing AI,No
Vivaan Mishra,Univ. Of Delhi,24,arts,Sometimes (At least once a month),Midjourney,Yes
Ishaan Mehta,Jadavpur Univ.,20,others,Never,ChatGPT,Yes
Reyansh Kumar,Anna Univ.,22,others,Never,Elicit,Yes
Ishaan Chopra,VIT(Vellore),20,others,Rarely (A few times a semester at most),Others,No
Ira Rao,Manipal Univ.,23,others,Rarely (A few times a semester at most),Others,No
Diya Iyer,IIsc,23,commerce,Often (At least once a week),Research Rabbit,No
Saanvi Joshi,Univ. Of Delhi,21,commerce,Sometimes (At least once a month),Grammarly,Yes
Aadhya Reddy,IIsc,19,others,Rarely (A few times a semester at most),DALL-E,No
Anika Reddy,Anna Univ.,22,others,Rarely (A few times a semester at most),Midjourney,Yes
Shanaya Mehta,Anna Univ.,23,others,Often (At least once a week),ChatGPT,No
Sai Joshi,Univ. Of Delhi,25,science,Often (At least once a week),Research Rabbit,No
Ananya Naidu,Univ. Of Delhi,22,science,Often (At least once a week),Grammarly,Yes
Ira Reddy,Jadavpur Univ.,24,science,Often (At least once a week),Research Rabbit,Yes
Reyansh Joshi,Anna Univ.,20,science,Rarely (A few times a semester at most),Midjourney,No
Sai Chopra,Univ. Of Delhi,20,arts,Sometimes (At least once a month),Others,No
Lakshmi Reddy,Univ. Of Delhi,21,arts,Rarely (A few times a semester at most),Midjourney,No
Ishaan Gupta,Jadavpur Univ.,24,arts,Sometimes (At least once a month),DALL-E,Yes
Krishna Pandey,Anna Univ.,19,others,Often (At least once a week),ChatGPT,Yes
Ananya Mishra,IIsc,23,others,Rarely (A few times a semester at most),DALL-E,Yes
Lakshmi Singh,Univ. Of Delhi,20,others,Rarely (A few times a semester at most),Elicit,Yes
Aditya Joshi,IIsc,21,others,Never,ChatGPT,No
Pihu Verma,Anna Univ.,24,science,Never,Research Rabbit,No
Aditya Chopra,Anna Univ.,22,science,Sometimes (At least once a month),Research Rabbit,No
Ananya Singh,Univ. Of Delhi,23,science,Often (At least once a week),Research Rabbit,No
Diya Kumar,Univ. Of Delhi,24,science,Sometimes (At least once a month),Elicit,No
Aadhya Iyer,Jadavpur Univ.,23,commerce,Rarely (A few times a semester at most),DALL-E,Yes
Arjun Reddy,Anna Univ.,18,arts,Sometimes (At least once a month),Grammarly,Yes
Ira Bose,VIT(Vellore),24,others,Rarely (A few times a semester at most),Midjourney,No
Aadhya Das,Manipal Univ.,23,commerce,Never,Others,Yes
Diya Gupta,IIsc,19,arts,Sometimes (At least once a month),Midjourney,Yes
Anika Reddy,Univ. Of Delhi,20,others,Sometimes (At least once a month),Bing AI,No
Diya Patel,IIsc,21,arts,Never,Elicit,No
Pihu Verma,Anna Univ.,22,science,Sometimes (At least once a month),Elicit,Yes
Reyansh Mehta,Anna Univ.,19,science,Never,ChatGPT,Yes
Saanvi Reddy,Univ. Of Delhi,18,science,Often (At least once a week),Research Rabbit,No
Krishna Gupta,Univ. Of Delhi,20,commerce,Never,Others,Yes
Aarohi Kapoor,Jadavpur Univ.,20,others,Never,Bing AI,Yes
Pihu Bose,Anna Univ.,22,others,Never,Midjourney,No
Aarav Naidu,Univ. Of Delhi,19,arts,Rarely (A few times a semester at most),Grammarly,No
Pihu Bose,Univ. Of Delhi,25,commerce,Never,ChatGPT,Yes
Saanvi Das,Jadavpur Univ.,19,science,Sometimes (At least once a month),Research Rabbit,No
Lakshmi Desai,Anna Univ.,18,science,Often (At least once a week),Bing AI,Yes
Shanaya Gupta,IIsc,23,others,Often (At least once a week),DALL-E,No
Aadhya Singh,Univ. Of Delhi,20,commerce,Sometimes (At least once a month),Bing AI,Yes
Aditya Naidu,IIsc,18,commerce,Never,Midjourney,Yes
Saanvi Reddy,Anna Univ.,22,arts,Sometimes (At least once a month),ChatGPT,Yes
Shanaya Naidu,Anna Univ.,25,others,Never,Bing AI,No
Diya Sharma,Univ. Of Delhi,18,commerce,Rarely (A few times a semester at most),DALL-E,Yes
Anika Sharma,Univ. Of Delhi,23,arts,Rarely (A few times a semester at most),Others,Yes
Lakshmi Rao,Jadavpur Univ.,19,others,Never,Research Rabbit,No
Anika Rao,Anna Univ.,23,arts,Never,ChatGPT,Yes
Reyansh Mishra,VIT(Vellore),25,science,Never,Midjourney,Yes
Sai Pandey,Manipal Univ.,24,science,Never,Research Rabbit,Yes
Vivaan Desai,IIsc,23,science,Sometimes (At least once a month),Midjourney,No
Saanvi Desai,Univ. Of Delhi,20,commerce,Often (At least once a week),Grammarly,Yes
Reyansh Bose,IIsc,25,others,Often (At least once a week),DALL-E,No
Lakshmi Mishra,Anna Univ.,20,others,Sometimes (At least once a month),Grammarly,No
Shanaya Singh,Anna Univ.,23,arts,Rarely (A few times a semester at most),Elicit,Yes
Aarav Iyer,Univ. Of Delhi,25,commerce,Sometimes (At least once a month),Elicit,No
Shanaya Patel,Univ. Of Delhi,23,science,Rarely (A few times a semester at most),ChatGPT,No
Krishna Mehta,Jadavpur Univ.,20,science,Often (At least once a week),Grammarly,Yes
Ananya Joshi,Anna Univ.,18,others,Rarely (A few times a semester at most),Grammarly,No
Arjun Desai,Univ. Of Delhi,19,commerce,Often (At least once a week),Elicit,Yes
Shanaya Joshi,Univ. Of Delhi,21,commerce,Never,ChatGPT,No
Anika Joshi,Jadavpur Univ.,24,arts,Rarely (A few times a semester at most),Elicit,Yes
Pihu Pandey,Anna Univ.,21,others,Rarely (A few times a semester at most),Midjourney,Yes
Aadhya Joshi,IIsc,22,commerce,Often (At least once a week),DALL-E,Yes
Ananya Desai,Univ. Of Delhi,19,arts,Often (At least once a week),Midjourney,No
Vivaan Naidu,IIsc,24,others,Often (At least once a week),ChatGPT,No
Ayaan Kapoor,Anna Univ.,22,arts,Often (At least once a week),Elicit,Yes
Ishaan Iyer,Anna Univ.,25,science,Never,Midjourney,No
Aditya Gupta,Univ. Of Delhi,25,science,Rarely (A few times a semester at most),Bing AI,Yes
Krishna Naidu,Univ. Of Delhi,22,science,Sometimes (At least once a month),Research Rabbit,Yes
Lakshmi Bose,Jadavpur Univ.,25,commerce,Never,Others,Yes
Pihu Bose,Anna Univ.,21,others,Often (At least once a week),Research Rabbit,Yes
Aadhya Pandey,VIT(Vellore),18,others,Never,Elicit,Yes
Ayaan Mishra,Manipal Univ.,22,arts,Often (At least once a week),Elicit,Yes
Vihaan Reddy,IIsc,24,commerce,Sometimes (At least once a month),Others,Yes
Vivaan Chopra,Univ. Of Delhi,24,science,Never,ChatGPT,Yes
Ayaan Desai,IIsc,25,science,Rarely (A few times a semester at most),Midjourney,Yes
Aadhya Gupta,Anna Univ.,20,others,Often (At least once a week),Research Rabbit,No
Shanaya Sharma,Anna Univ.,23,commerce,Rarely (A few times a semester at most),ChatGPT,No
Aditya Mehta,Univ. Of Delhi,20,commerce,Often (At least once a week),Midjourney,Yes
Aadhya Das,Univ. Of Delhi,23,arts,Never,Research Rabbit,Yes
Pihu Rao,Jadavpur Univ.,19,others,Never,Bing AI,Yes
Ananya Mishra,Anna Univ.,23,commerce,Sometimes (At least once a month),ChatGPT,Yes
Diya Iyer,Univ. Of Delhi,24,arts,Never,ChatGPT,No
Aadhya Kapoor,Univ. Of Delhi,21,others,Often (At least once a week),Midjourney,No
Aarohi Pandey,Jadavpur Univ.,18,arts,Rarely (A few times a semester at most),Grammarly,No
Ishaan Patel,Anna Univ.,22,science,Never,Others,No
Ayaan Verma,IIsc,19,science,Rarely (A few times a semester at most),Midjourney,No
Vihaan Kapoor,Univ. Of Delhi,18,science,Rarely (A few times a semester at most),Research Rabbit,No
Aadhya Sharma,IIsc,18,commerce,Rarely (A few times a semester at most),DALL-E,No
Krishna Rao,Anna Univ.,22,others,Rarely (A few times a semester at most),Elicit,Yes
Diya Das,Anna Univ.,25,others,Rarely (A few times a semester at most),Research Rabbit,Yes
Vivaan Singh,Univ. Of Delhi,18,arts,Often (At least once a week),Midjourney,Yes
Vihaan Sharma,Univ. Of Delhi,24,commerce,Sometimes (At least once a month),DALL-E,Yes
Aarohi Singh,Jadavpur Univ.,19,science,Never,Others,Yes
Ishaan Reddy,Anna Univ.,24,science,Never,Elicit,Yes
Ananya Kapoor,VIT(Vellore),24,others,Often (At least once a week),DALL-E,No
Lakshmi Naidu,Manipal Univ.,19,commerce,Rarely (A few times a semester at most),Grammarly,No
Ayaan Mishra,IIsc,25,commerce,Rarely (A few times a semester at most),Midjourney,No
Ayaan Kumar,Univ. Of Delhi,24,arts,Never,Research Rabbit,No
Krishna Sharma,IIsc,19,others,Often (At least once a week),Bing AI,No
Saanvi Kumar,Anna Univ.,21,commerce,Often (At least once a week),Midjourney,Yes
Anika Bose,Anna Univ.,19,arts,Rarely (A few times a semester at most),Midjourney,No
Vihaan Singh,Univ. Of Delhi,22,others,Never,Midjourney,Yes
Vivaan Kumar,Univ. Of Delhi,20,arts,Sometimes (At least once a month),Bing AI,No
Saanvi Naidu,Jadavpur Univ.,23,science,Often (At least once a week),ChatGPT,No
Krishna Bose,Anna Univ.,18,science,Rarely (A few times a semester at most),Research Rabbit,No
Sai Iyer,Univ. Of Delhi,19,science,Rarely (A few times a semester at most),Others,Yes
Diya Rao,Univ. Of Delhi,24,commerce,Sometimes (At least once a month),Research Rabbit,No
Aarohi Desai,Jadavpur Univ.,23,others,Often (At least once a week),Grammarly,No
Lakshmi Das,Anna Univ.,24,others,Never,Elicit,No
Reyansh Reddy,IIsc,18,arts,Never,DALL-E,Yes
Anika Kapoor,Univ. Of Delhi,18,commerce,Sometimes (At least once a month),Bing AI,No
Sai Nair,IIsc,18,science,Rarely (A few times a semester at most),Others,No
Aadhya Singh,Anna Univ.,21,science,Rarely (A few times a semester at most),Bing AI,No
Vihaan Joshi,Anna Univ.,20,others,Sometimes (At least once a month),Grammarly,No
Ayaan Mehta,Univ. Of Delhi,25,commerce,Rarely (A few times a semester at most),DALL-E,No
Sai Gupta,Univ. Of Delhi,21,commerce,Never,DALL-E,No
Vihaan Pandey,Jadavpur Univ.,25,arts,Often (At least once a week),Bing AI,No
Vihaan Kumar,Anna Univ.,24,others,Often (At least once a week),DALL-E,Yes
Vivaan Das,VIT(Vellore),21,commerce,Never,ChatGPT,No
Arjun Mishra,Manipal Univ.,23,arts,Often (At least once a week),Grammarly,Yes
Arjun Reddy,IIsc,19,others,Sometimes (At least once a month),Grammarly,Yes
Anika Kumar,Univ. Of Delhi,19,arts,Sometimes (At least once a month),Elicit,Yes
Anika Reddy,IIsc,23,science,Never,ChatGPT,Yes
Reyansh Nair,Anna Univ.,20,science,Sometimes (At least once a month),Elicit,No
Saanvi Mehta,Anna Univ.,20,science,Rarely (A few times a semester at most),Others,Yes
Vivaan Kumar,Univ. Of Delhi,23,commerce,Sometimes (At least once a month),ChatGPT,Yes
Aadhya Mishra,Univ. Of Delhi,23,others,Rarely (A few times a semester at most),Grammarly,No
Reyansh Das,Jadavpur Univ.,24,others,Often (At least once a week),Bing AI,Yes
Pihu Patel,Anna Univ.,23,arts,Never,Others,No
Aarohi Nair,Univ. Of Delhi,24,commerce,Rarely (A few times a semester at most),Research Rabbit,No
Anika Patel,Univ. Of Delhi,20,science,Often (At least once a week),Others,No
Anika Gupta,Jadavpur Univ.,18,science,Sometimes (At least once a month),Midjourney,No
Anika Kapoor,Anna Univ.,25,others,Often (At least once a week),DALL-E,No
Ananya Chopra,IIsc,21,commerce,Never,Research Rabbit,No
Vivaan Joshi,Univ. Of Delhi,21,commerce,Often (At least once a week),Midjourney,Yes
Arjun Iyer,IIsc,23,arts,Often (At least once a week),ChatGPT,No
Aadhya Kumar,Anna Univ.,23,others,Never,DALL-E,Yes
Lakshmi Gupta,Anna Univ.,23,commerce,Rarely (A few times a semester at most),Grammarly,No
Arjun Pandey,Univ. Of Delhi,24,arts,Sometimes (At least once a month),Elicit,No
Pihu Reddy,Univ. Of Delhi,19,others,Sometimes (At least once a month),DALL-E,Yes
Aadhya Bose,Jadavpur Univ.,24,arts,Sometimes (At least once a month),Grammarly,No
Vihaan Singh,Anna Univ.,19,science,Often (At least once a week),Elicit,No
Sai Mehta,VIT(Vellore),25,science,Never,Research Rabbit,Yes
Anika Reddy,Manipal Univ.,24,science,Often (At least once a week),DALL-E,No
Aarohi Mishra,IIsc,22,commerce,Sometimes (At least once a month),ChatGPT,No
Saanvi Reddy,Univ. Of Delhi,23,others,Never,Grammarly,Yes
Aadhya Sharma,IIsc,21,others,Never,Others,Yes
Saanvi Mishra,Anna Univ.,24,arts,Never,DALL-E,Yes
Reyansh Desai,Anna Univ.,19,commerce,Never,Elicit,Yes
Ira Desai,Univ. Of Delhi,23,science,Never,Midjourney,No
Lakshmi Desai,Univ. Of Delhi,19,science,Sometimes (At least once a month),Research Rabbit,No
Ishaan Mishra,Jadavpur Univ.,19,others,Sometimes (At least once a month),DALL-E,No
Aditya Singh,Anna Univ.,18,commerce,Sometimes (At least once a month),Bing AI,No
Aditya Verma,Univ. Of Delhi,24,commerce,Often (At least once a week),Midjourney,Yes
Reyansh Patel,Univ. Of Delhi,18,arts,Never,Elicit,Yes
Krishna Iyer,Jadavpur Univ.,19,others,Sometimes (At least once a month),Others,No
Aditya Patel,Anna Univ.,19,commerce,Never,ChatGPT,No
Ira Das,IIsc,19,arts,Never,Midjourney,No
Anika Nair,Univ. Of Delhi,21,others,Never,Research Rabbit,Yes
Ishaan Iyer,IIsc,18,arts,Never,Bing AI,No
Aarohi Singh,Anna Univ.,21,science,Often (At least once a week),Others,Yes
